B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,QA_PIXEL,QA_RADSAT,SAA,SZA,VAA,VZA,NDSI,NDVI,NDWI,B8/B6,B8/B6_1,NDSI_1,NDVI_1,NDWI_1,count,system:index,label
11607.193055555555,11677.147569444445,12784.077777777778,14651.220486111111,16065.390972222222,14507.17326388889,13330.178819444445,13332.036458333334,8020.674652777778,24135.710416666665,23085.993055555555,21984.93888888889,0.0,5697.0888888888885,4155.542708333333,12438.196875,134.153125,-0.10762201004427475,0.042052482342976163,-0.09844338559131656,-0.09245175759507321,-0.09245175759507321,-0.10762201004427475,0.042052482342976163,-0.09844338559131656,1440,-258108-105048,-1117471798
11030.536303630362,11045.145214521452,12287.304455445545,14554.486798679867,16272.036303630362,16430.144389438945,14779.532178217822,13058.384488448844,7697.210396039604,22897.511551155116,22208.512376237624,21847.161716171617,0.0,5695.046204620462,4156.0750825082505,12304.509900990099,127.5924092409241,-0.18123898400061397,0.05384953655517682,-0.13432699978572898,-0.15232440334339026,-0.15232440334339026,-0.18123898400061397,0.05384953655517682,-0.13432699978572898,606,-258108-105094,936080938
11634.101100412654,11611.15818431912,12823.31430536451,15578.548143053646,17590.874140302614,19721.86932599725,17361.380330123797,13773.865887207703,9322.489683631362,24347.12104539202,23348.436726272354,21827.13204951857,0.0,5692.904401650619,4157.779229711142,12089.23727647868,126.77922971114168,-0.22613940215791273,0.06098927965866814,-0.15611400029928188,-0.19215370850968067,-0.19215370850968067,-0.22613940215791273,0.06098927965866814,-0.15611400029928188,727,-258111-105214,1351551731
9778.055555555555,9538.239463601532,10129.593869731802,11363.969348659004,12257.080459770115,12268.503831417625,11373.706896551725,10530.0,7054.595785440613,20367.00766283525,20192.674329501915,21824.873563218393,0.0,5694.55938697318,4156.5,12385.812260536399,126.52681992337165,-0.129737946265502,0.03527895126391873,-0.08727299026659623,-0.10948172505316948,-0.10948172505316948,-0.129737946265502,0.03527895126391873,-0.08727299026659623,261,-258117-105133,-82888476
11324.782178217822,11666.411221122113,13982.959405940594,16164.732673267326,16956.808580858087,18346.720792079206,14831.611551155116,14557.943894389438,6596.710231023102,26240.52310231023,24944.612211221123,23119.701650165018,0.0,5688.448514851485,4160.305940594059,8480.9600660066,118.41452145214521,-0.1521595934990689,0.023667649198177487,-0.09429779104126168,-0.13247881036281753,-0.13247881036281753,-0.1521595934990689,0.023667649198177487,-0.09429779104126168,1515,-258118-105361,-782676520
11579.078947368422,11838.315789473685,13299.815789473685,15472.447368421053,16614.184210526317,18329.052631578947,15180.684210526315,13465.078947368422,6734.1578947368425,23861.86842105263,23074.763157894737,21824.0,0.0,5689.5,4159.5,8751.684210526315,118.34210526315789,-0.17843800704730184,0.035280994286662655,-0.1087342716361347,-0.17356341606692263,-0.17356341606692263,-0.17843800704730184,0.035280994286662655,-0.1087342716361347,19,-258120-105355,-1148386557
16306.514285714286,16517.644155844155,17304.372727272726,19005.711688311687,19881.48181818182,15156.5987012987,13590.293506493506,17814.627272727274,7609.612987012987,21946.533766233766,21217.053246753247,22083.05974025974,0.0,5697.050649350649,4155.279220779221,12441.754545454545,131.9012987012987,-0.03035919991247779,0.03227517440062403,-0.07725567189226677,-0.013941158902114741,-0.013941158902114741,-0.03035919991247779,0.03227517440062403,-0.07725567189226677,385,-258122-105049,-1940795857
12871.41489361702,12997.54255319149,13880.063829787234,15278.308510638299,15947.574468085106,12010.808510638299,10805.808510638299,14240.54255319149,6855.063829787234,21458.08510638298,20716.872340425532,22238.44680851064,0.0,5696.053191489362,4155.5,12404.936170212766,130.24468085106383,-0.04541785252761056,0.015219117953204252,-0.05219295363318413,-0.030758377989107605,-0.030758377989107605,-0.04541785252761056,0.015219117953204252,-0.05219295363318413,47,-258122-105088,198721460
11060.065530799477,10935.321100917432,11578.062254259501,13735.725425950197,15748.433158584534,15777.042595019659,14632.967234600263,12300.787024901703,8210.372214941022,24064.904325032767,23226.20511140236,21824.0,0.0,5692.1127129750985,4157.636959370904,10921.526867627785,123.36435124508519,-0.15989837576275104,0.06765585721788994,-0.15195185327865818,-0.13032679693092292,-0.13032679693092292,-0.15989837576275104,0.06765585721788994,-0.15195185327865818,763,-258122-105228,715163067
10459.85693501455,10172.007274490785,10308.42677012609,11516.476721629486,12479.101842871,11359.929679922405,10677.063530552861,10750.352570320078,6760.402521823472,21880.19544131911,21458.058680892336,21886.592628516002,0.0,5691.582929194957,4158.1910766246365,10688.326867119302,122.91125121241514,-0.07739465942526555,0.039719349112105125,-0.09053008298495302,-0.05872713982034,-0.05872713982034,-0.07739465942526555,0.039719349112105125,-0.09053008298495302,1031,-258122-105240,-1807180541
